92-U-233(n,total fission) ENDF/B-VII.1
36.5358,92.9651
36.5774,102.254
36.6013,103.901
36.6371,100.498
36.679,88.8437
36.7669,56.3546
36.8026,46.2071
36.8383,38.9332
36.8782,33.6587
36.9122,30.8677
36.9576,28.7031
37.0257,27.4044
37.0484,27.3234
37.12,28.0408
37.1915,30.3888
37.2619,34.7611
37.3425,42.7187
37.4694,57.4245
37.5252,60.5468
37.5434,60.6844
37.5933,58.6827
37.6614,51.3859
37.7906,33.8053
37.8573,26.8473
37.9254,21.716
37.9906,18.2341
38.0757,15.097
38.1608,12.978
38.2385,11.637
38.355,10.4089
38.4716,10.0137
38.5522,10.2734
38.6329,11.0714
38.707,12.399
38.7883,14.6684
38.8731,18.1056
38.9687,23.3276
39.203,38.4843
39.3129,43.3094
39.4133,45.3684
39.5201,45.8129
39.6549,45.6861
39.8154,45.906
40.1905,43.0517
40.4543,44.2251
40.5706,43.1295
40.8073,36.5223
40.8441,36.2824
40.9064,37.7779
40.9596,41.4011
41.0507,49.9415
41.1007,51.8924
41.143,50.0552
41.1914,44.1073
41.2963,26.7256
41.3412,21.1687
41.3832,17.5997
41.4252,15.2999
41.4671,13.885
41.5342,12.722
41.633,12.2734
41.7752,12.8199
42.1543,15.374
42.2609,16.9259
42.3192,18.6497
42.3759,21.5709
42.4214,25.3926
42.4611,30.3287
42.504,37.731
42.5676,52.3189
42.6315,67.2773
42.6773,73.7295
42.7008,74.6229
42.7402,71.9895
42.7855,63.4928
42.891,36.5022
42.9328,28.2409
42.9685,23.0109
43.0042,19.2887
43.039,16.8126
43.0716,15.2496
43.115,13.9994
43.1654,13.4275
43.1822,13.4135
43.227,13.801
43.2718,14.8775
43.3138,16.6493
43.3628,19.8142
43.4327,26.194
43.5002,32.5417
43.5524,35.3561
43.5718,35.6168
43.6088,34.8211
43.662,31.1807
43.7742,20.6048
43.8302,16.7722
43.8763,14.6692
43.9319,13.1142
43.9987,12.178
44.0701,11.8452
44.1708,12.0831
44.3052,13.3236
44.5034,16.586
44.6183,18.1275
44.6586,18.2577
44.7414,17.5224
44.836,15.1942
44.9737,11.1251
45.0555,9.43044
45.1249,8.55636
45.1942,8.08154
45.3559,7.72213
45.5014,7.39826
45.7544,6.05677
45.7861,6.01247
45.8309,6.24202
45.8569,6.64438
45.8865,7.4848
45.9155,8.86298
45.9405,10.611
45.9695,13.44
46.0027,17.7867
46.0489,25.4874
46.1082,35.8683
46.1461,40.7211
46.1825,42.8522
46.1901,42.9423
46.2234,41.9422
46.2689,37.6476
46.3656,25.2895
46.413,20.7288
46.4604,17.6716
46.5052,15.8909
46.5543,14.8008
46.6199,14.2575
46.6877,14.4347
46.7797,15.6394
46.8523,17.4107
46.937,20.6389
47.0169,25.2079
47.1041,32.2267
47.2454,45.5408
47.3154,49.2337
47.3405,49.5137
47.3978,47.8216
47.4649,42.358
47.6192,25.7289
47.6874,20.0244
47.7502,16.0906
47.813,13.2228
47.8757,11.1946
47.9385,9.82572
48.0013,8.99334
48.0776,8.608
48.0843,8.60567
48.1561,8.91731
48.2211,9.81768
48.2699,11.0183
48.3186,12.8842
48.3579,15.1099
48.3983,18.4331
48.4319,22.3909
48.4633,27.4722
48.4945,34.3156
48.5257,43.4224
48.5612,57.0467
48.6034,77.841
48.7077,137.266
48.7468,151.977
48.7805,156.875
48.8142,153.676
48.8595,138.312
48.9731,80.3183
49.0139,64.2226
49.0506,53.6695
49.0936,45.4431
49.1365,40.3797
49.2126,35.312
49.3918,25.5495
49.499,19.7636
49.574,16.8241
49.6456,14.9833
49.7207,13.9031
49.7959,13.5125
49.8883,13.7784
50.0115,15.173
50.1567,18.0396
50.3777,23.2648
50.4763,24.7189
50.5403,25.0113
50.6622,23.9972
50.9102,19.1533
51.091,17.4397
51.2223,15.8402
51.4677,11.3232
51.5764,9.8738
51.6863,8.96719
51.7992,8.65503
51.899,8.92279
52.0938,10.0444
52.1564,10.1517
52.2607,9.89532
52.5438,8.38196
52.5726,8.3419
52.6279,8.54797
52.6819,9.29803
52.7266,10.5082
52.7705,12.4011
52.8144,15.1952
52.857,18.9609
52.9073,24.8853
53.0039,39.4197
53.0755,49.083
53.1332,53.4854
53.1822,54.4443
53.2778,51.7273
53.5141,41.3918
53.6419,34.8859
53.713,33.0254
53.7273,32.9785
53.7799,34.0859
53.8299,37.3431
53.8882,44.138
53.9722,58.42
54.0549,72.5998
54.1061,78.2054
54.1566,79.972
54.2089,77.8947
54.3089,67.0835
54.4059,55.8718
54.4787,50.5739
54.5223,49.3093
54.586,50.8114
54.6259,54.2568
54.6844,63.2309
54.8223,93.2098
54.8756,98.6169
54.8838,98.7678
54.9228,96.8617
54.9818,87.0005
55.0967,60.3952
55.1559,50.5295
55.2009,45.6477
55.2684,41.6866
55.3458,40.4358
55.4433,41.8827
55.5408,45.7413
55.6692,54.1931
55.8132,68.0132
55.9971,87.8439
56.1323,96.6939
56.317,102.64
56.4955,114.215
56.5091,114.363
56.5771,111.386
56.6727,98.4158
56.8025,78.9888
56.8819,71.789
56.9556,68.4779
57.0028,67.7336
57.1058,69.044
57.2431,75.6001
57.4872,91.9364
57.613,95.0074
57.7136,92.0422
57.8814,78.9298
58.0492,64.5235
58.1603,58.3417
58.2576,56.4565
58.3453,58.2337
58.4617,65.5655
58.5683,72.9372
58.613,73.9997
58.6726,71.9332
58.7429,64.051
58.8953,39.0039
58.9527,31.9805
59.0152,26.7733
59.0952,22.5208
59.2016,18.765
59.3099,16.0934
59.427,14.1787
59.5735,12.7467
59.7491,11.9058
59.8897,11.711
60.0537,11.941
60.2177,12.6911
60.3933,14.2278
60.5398,16.332
60.6862,19.5495
60.8232,24.0257
60.9462,29.7083
61.061,36.872
61.176,46.4633
61.314,61.929
61.4252,74.6771
61.4863,78.6136
61.5224,79.0301
61.5735,76.7846
61.6449,68.572
61.8207,39.6914
61.8876,31.2112
61.952,25.1649
62.0214,20.5632
62.0981,17.152
62.1601,15.3452
62.2344,14.1215
62.2678,13.9462
62.3112,14.2051
62.3443,14.9374
62.3838,16.7335
62.4154,19.2134
62.447,22.9584
62.4808,28.7157
62.5178,37.3697
62.5659,52.0377
62.6443,78.4486
62.6917,89.5123
62.7296,92.6288
62.7704,89.4794
62.8131,80.075
62.93,44.0587
62.967,35.1012
63.006,28.0013
63.0422,23.3201
63.0784,20.0923
63.1259,17.4015
63.1733,15.8153
63.2366,14.6738
63.3315,14.0758
63.4205,14.2458
63.5096,14.9816
63.6268,16.8801
63.7205,19.3954
63.8142,23.186
63.9009,28.2483
64.0158,37.4284
64.1357,47.2884
64.2449,52.4939
64.3358,57.0379
64.4023,64.3503
64.5167,81.5589
64.5678,84.9385
64.5765,84.9603
64.6189,82.5461
64.6709,74.5137
64.7938,47.9024
64.8476,39.1818
64.8904,34.6437
64.9354,32.0975
64.9697,31.531
65.0285,32.8386
65.1755,41.1535
65.2284,42.2339
65.2887,40.7684
65.4063,32.9356
65.4908,27.8595
65.5671,24.9795
65.8531,18.7035
66.0145,15.8903
66.1155,14.9668
66.1741,14.8167
66.2486,15.0481
66.355,16.1263
66.6425,20.6458
66.7808,21.5644
66.9245,21.1076
67.3277,17.5119
67.5127,16.6981
67.5792,16.6751
67.7099,17.329
67.8078,18.9144
67.8889,21.397
68.0624,28.7559
68.1282,29.9723
68.1372,29.9905
68.2094,28.8503
68.387,22.0976
68.4783,20.2235
68.556,19.8674
68.6634,20.7133
68.7662,22.7278
68.8641,25.9542
68.9585,30.6388
69.1806,45.2505
69.2761,48.9232
69.3449,49.6121
69.7767,43.8338
69.8221,43.7547
69.94,45.4592
70.0307,49.4477
70.1689,59.999
70.278,68.1849
70.3481,70.1902
70.4064,68.761
70.486,62.2815
70.7016,34.8821
70.778,27.4219
70.855,21.967
70.932,18.2204
71.0122,15.6426
71.1085,13.7623
71.2302,12.6153
71.3199,12.3832
71.4543,12.8513
71.5802,14.3349
71.6961,16.9039
71.8707,21.7352
71.9564,22.7986
71.9732,22.8257
72.0601,22.1541
72.1996,20.0264
72.3298,18.9342
72.7204,18.2422
72.9901,17.0886
