64-Gd-153(n,&gamma;) ENDF/B-VII.1
85.1277,57.2473
85.198,69.5679
85.259,84.1593
85.3153,102.669
85.3704,128.135
85.4196,160.383
85.4606,197.351
85.4999,244.691
85.5386,306.419
85.5773,387.117
85.623,512.258
85.6705,681.133
85.7303,950.537
85.8851,1757.32
85.9493,1974.86
85.9992,2031.0
86.0525,1968.26
86.1107,1771.37
86.2134,1242.67
86.292,839.848
86.3471,611.372
86.3928,463.255
86.4338,360.444
86.476,280.068
86.5182,220.327
86.5605,176.295
86.6027,143.793
86.6554,114.493
86.7082,93.6467
86.7738,75.1996
86.8442,61.2073
86.9263,49.5242
87.0224,39.779
87.135,31.7148
87.2475,25.9248
87.3742,21.153
87.5242,17.0435
87.6884,13.791
87.876,11.1022
88.0812,8.97724
88.3157,7.22268
88.5912,5.7503
88.8726,4.67039
89.1716,3.82936
89.5409,3.07023
89.9279,2.49507
90.3969,1.99315
90.901,1.60757
91.4639,1.29801
92.0618,1.05985
92.8005,0.849663
93.504,0.704173
94.442,0.564762
95.4503,0.459954
96.576,0.377412
97.8188,0.313671
99.132,0.266188
100.633,0.228857
102.326,0.201423
104.635,0.18006
107.25,0.172562
108.7,0.175274
111.02,0.189663
112.76,0.210568
114.5,0.243501
116.022,0.286733
117.327,0.339953
118.524,0.40865
119.611,0.495741
120.518,0.596512
121.424,0.736237
122.239,0.913576
122.964,1.13583
123.599,1.40875
124.161,1.74571
124.668,2.16818
125.121,2.69716
125.502,3.3114
125.846,4.07227
126.163,5.03677
126.463,6.30501
126.716,7.80434
126.934,9.56408
127.148,11.9593
127.325,14.7291
127.485,18.1548
127.637,22.7162
127.76,27.8502
127.869,34.053
127.96,41.0598
128.052,50.8879
128.128,62.1457
128.192,74.8791
128.257,92.7242
128.317,115.216
128.376,146.024
128.434,185.925
128.491,238.969
128.551,312.653
128.619,418.042
128.723,617.242
128.856,878.006
128.922,966.867
129.0,1006.68
129.065,977.909
129.139,884.427
129.266,637.642
129.375,425.892
129.445,316.483
129.508,240.029
129.566,185.992
129.625,144.415
129.68,116.371
129.736,94.6951
129.801,76.2283
129.877,60.8812
129.964,48.5882
130.062,38.8986
130.16,31.9396
130.287,25.4548
130.414,20.7988
130.559,16.9096
130.733,13.5458
130.928,10.8491
131.157,8.61883
131.393,6.97039
131.646,5.68339
131.827,5.0202
131.95,4.7039
132.0,4.60729
132.0,73.3813
157.81,66.7156
166.0,64.6005
198.458,58.4835
200.0,58.1929
239.106,52.9995
262.5,49.8927
313.827,45.1826
325.0,44.1573
387.5,39.8977
450.0,36.578
537.989,33.1316
575.0,31.6819
687.43,28.5479
700.0,28.1975
825.0,25.5616
950.0,23.4817
1135.75,21.1757
1200.0,20.3781
1434.64,18.2845
1450.0,18.1474
1700.0,16.4504
2032.4,14.8288
2200.0,14.0112
2630.17,12.557
2700.0,12.3209
3200.0,11.0675
3700.0,10.0942
4200.0,9.31268
4700.0,8.66887
5200.0,8.12778
6200.0,7.26543
7200.0,6.60543
8200.0,6.08164
9200.0,5.6544
10200.0,5.29833
11200.0,4.9964
12200.0,4.73668
13200.0,4.51059
14200.0,4.31175
15200.0,4.13533
16200.0,3.9776
17200.0,3.83561
18200.0,3.70703
19200.0,3.58997
20200.0,3.48287
21200.0,3.38447
22200.0,3.29369
23200.0,3.20965
24200.0,3.13158
25200.0,3.05883
26200.0,2.99086
27200.0,2.92718
28200.0,2.86737
29200.0,2.81108
30200.0,2.75799
31200.0,2.7078
32200.0,2.66029
33200.0,2.61522
34200.0,2.5724
35200.0,2.53166
36200.0,2.49283
37200.0,2.45579
38200.0,2.4204
39200.0,2.38653
40200.0,2.3541
41000.0,2.32912
41000.0,2.32524
52444.1,1.93167
65000.0,1.57643
78750.0,1.2571
92500.0,1.04232
100000.0,0.95254
135000.0,0.737989
150000.0,0.663076
200000.0,0.533527
250000.0,0.471276
329330.0,0.437478
400000.0,0.397551
597765.0,0.358987
800000.0,0.327033
950000.0,0.317768
1200000.0,0.290822
1500000.0,0.212451
1700000.0,0.187316
2500000.0,0.113293
3000000.0,0.0790154
3500000.0,0.0545065
4000000.0,0.037738
4500000.0,0.0261961
5000000.0,0.0182103
6000000.0,0.00660957
6500000.0,0.00454073
7000000.0,0.00313835
7500000.0,0.00228944
8000000.0,0.00165807
8500000.0,0.00130421
9000000.0,0.00117089
9500000.0,0.00112758
1.0E7,0.00112495
1.049E7,0.00112515
1.3E7,0.00103852
1.525E7,7.67813E-4
1.6125E7,6.36526E-4
1.6625E7,5.46723E-4
1.7625E7,4.06501E-4
1.85E7,3.01388E-4
2.0E7,1.90902E-4
