48-Cd-113(n,&gamma;) ENDF/B-VII.1
109.876,2.12827
110.053,1.69547
110.23,1.38583
110.446,1.11441
110.668,0.912646
110.915,0.748081
111.219,0.602048
111.574,0.481877
111.979,0.38587
112.435,0.310068
112.942,0.250854
113.461,0.207551
114.082,0.170288
114.786,0.140298
115.643,0.11462
116.5,0.0969488
117.637,0.0799045
118.757,0.0681674
120.158,0.0579466
121.839,0.0495658
123.52,0.0442183
125.201,0.0403322
127.574,0.0372797
129.948,0.0363942
132.619,0.0382537
134.02,0.0411252
135.043,0.0443698
136.239,0.0507119
137.152,0.0585057
137.984,0.069642
138.588,0.0819579
139.111,0.0975374
139.594,0.118611
140.004,0.144989
140.332,0.175568
140.614,0.212539
140.876,0.261096
141.111,0.323429
141.315,0.401332
141.48,0.489718
141.621,0.594776
141.741,0.718877
141.842,0.860518
141.943,1.06029
142.023,1.2929
142.09,1.57363
142.151,1.93974
142.203,2.39497
142.249,2.94794
142.294,3.7076
142.34,4.75095
142.382,6.05402
142.424,7.77254
142.471,10.2895
142.514,13.2635
142.563,17.4979
142.619,23.7413
142.689,33.4118
142.906,69.4606
142.984,78.5828
143.064,82.3231
143.07,82.338
143.145,79.3705
143.223,70.8351
143.355,49.3208
143.463,31.5041
143.533,22.2289
143.587,16.566
143.639,12.2451
143.687,9.1937
143.732,7.06372
143.772,5.58122
143.814,4.39658
143.856,3.50944
143.905,2.7685
143.956,2.21326
144.009,1.80116
144.063,1.50693
144.13,1.24525
144.211,1.02632
144.311,0.836577
144.435,0.674906
144.576,0.547153
144.741,0.442691
144.922,0.361606
145.123,0.297504
145.372,0.241899
145.653,0.198257
145.982,0.163334
146.318,0.138689
146.72,0.118256
147.203,0.101897
147.747,0.0900504
148.384,0.081732
149.149,0.076837
149.726,0.0757776
150.791,0.0786446
151.59,0.0849522
152.349,0.0951328
153.089,0.110515
153.705,0.129688
154.272,0.155325
154.79,0.18958
155.209,0.229392
155.604,0.28273
155.949,0.349896
156.245,0.432049
156.516,0.53957
156.732,0.660184
156.935,0.819363
157.108,1.0093
157.256,1.23628
157.392,1.52882
157.503,1.86841
157.592,2.25516
157.669,2.7299
157.738,3.35047
157.792,4.04102
157.842,4.91858
157.891,6.14116
157.934,7.6096
157.977,9.58552
158.02,12.2304
158.067,16.0254
158.113,21.0764
158.159,27.6661
158.205,36.0645
158.257,47.8829
158.324,67.0233
158.415,99.7122
158.573,161.673
158.661,187.544
158.743,198.186
158.76,198.495
158.844,190.337
158.938,164.771
159.164,77.5435
159.236,55.0184
159.295,40.1855
159.348,29.8458
159.395,22.6615
159.442,17.1464
159.484,13.4048
159.524,10.6356
159.568,8.39319
159.611,6.72225
159.66,5.33079
159.712,4.2829
159.766,3.51952
159.82,2.96912
159.897,2.41562
159.98,2.00272
160.073,1.67413
160.202,1.34751
160.338,1.10519
160.511,0.885767
160.696,0.719386
160.911,0.581068
161.164,0.466881
161.423,0.383679
161.719,0.315211
162.049,0.260365
162.434,0.214705
162.84,0.180432
163.32,0.151579
163.88,0.128332
164.54,0.110478
165.08,0.102314
165.28,0.10134
165.492,0.103071
165.63,0.107986
165.722,0.115162
165.806,0.126821
165.882,0.14405
165.958,0.170449
166.034,0.208863
166.117,0.266953
166.216,0.357825
166.424,0.573262
166.526,0.641611
166.599,0.656838
166.688,0.633148
166.792,0.554894
167.033,0.30277
167.121,0.229534
167.196,0.182328
167.266,0.150051
167.336,0.127173
167.416,0.109659
167.496,0.0984562
167.612,0.0888667
167.728,0.0834243
167.96,0.0775555
168.36,0.0726334
168.76,0.069985
169.96,0.0666872
170.6,0.0663278
172.601,0.0688666
174.818,0.0770646
176.724,0.0892023
178.483,0.105959
179.949,0.126123
181.379,0.154079
182.661,0.190011
183.688,0.230176
184.714,0.286772
185.557,0.352273
186.326,0.435662
186.986,0.534949
187.572,0.656356
188.085,0.801269
188.544,0.977788
188.993,1.21677
189.368,1.49367
189.735,1.86936
190.065,2.34769
190.321,2.86321
190.559,3.51518
190.779,4.34426
190.968,5.32614
191.135,6.51713
191.278,7.91179
191.417,9.79415
191.527,11.8591
191.633,14.6411
191.721,17.869
191.794,21.5407
191.866,26.3769
191.93,32.1919
191.994,39.8933
192.058,50.0531
192.129,64.8263
192.199,84.1667
192.277,111.559
192.377,156.109
192.652,300.853
192.75,335.952
192.849,348.801
192.932,339.765
193.023,310.96
193.173,236.208
193.334,150.263
193.429,108.736
193.51,81.1559
193.583,61.8845
193.649,48.6397
193.715,38.5738
193.784,30.7364
193.858,24.5379
193.94,19.6051
194.023,16.0708
194.114,13.2237
194.224,10.7698
194.36,8.637
194.514,6.94054
194.668,5.72114
194.861,4.61903
195.054,3.83415
195.261,3.25936
195.413,3.02356
195.509,2.97841
195.606,3.02892
195.774,3.34064
196.014,3.90846
196.096,3.97046
196.208,3.85343
196.318,3.51422
196.63,2.10657
196.749,1.69698
196.851,1.44276
196.959,1.25673
197.119,1.08371
197.333,0.945596
197.709,0.790135
198.212,0.64734
198.762,0.53614
199.471,0.43506
200.269,0.357079
200.989,0.30868
201.699,0.277708
202.08,0.27051
202.364,0.277272
202.505,0.293502
202.599,0.31624
202.686,0.352343
202.766,0.404757
202.846,0.482312
202.936,0.606898
203.032,0.788297
203.218,1.23462
203.342,1.51143
203.446,1.65112
203.509,1.67527
203.61,1.61071
203.71,1.43868
203.988,0.768603
204.084,0.583916
204.164,0.468215
204.234,0.392986
204.314,0.331713
204.4,0.28807
204.478,0.262322
204.582,0.240856
204.738,0.223372
204.99,0.209914
205.591,0.19793
206.071,0.19557
207.031,0.201227
208.015,0.220694
208.818,0.250378
209.518,0.292093
210.099,0.345663
210.499,0.401609
210.755,0.457678
210.911,0.514875
211.035,0.590221
211.136,0.685258
211.236,0.825203
211.336,1.02086
211.469,1.36686
211.708,2.05156
211.826,2.25839
211.907,2.30345
212.012,2.23802
212.16,1.97377
212.376,1.53182
212.496,1.3808
212.616,1.32113
212.635,1.31936
212.769,1.35565
212.921,1.47934
213.131,1.76162
213.311,2.11289
213.474,2.5536
213.621,3.10025
213.743,3.72879
213.861,4.57943
213.946,5.45732
214.032,6.70654
214.095,8.01427
214.161,9.90003
214.219,12.246
214.277,15.4959
214.329,19.4283
214.383,24.9063
214.437,32.1958
214.491,41.7444
214.547,54.6689
214.614,74.4251
214.689,103.117
214.776,144.683
215.021,280.573
215.12,320.36
215.216,336.634
215.229,336.881
215.326,323.89
215.425,286.666
215.613,182.723
215.724,124.2
215.803,89.6913
215.872,66.1071
215.935,49.1323
215.992,37.4718
216.048,28.5745
216.102,22.1784
216.156,17.3946
216.21,13.8474
216.264,11.2254
216.325,9.04752
216.394,7.3358
216.462,6.1185
216.548,5.03715
216.642,4.19512
216.77,3.38799
216.92,2.73333
217.096,2.1951
217.275,1.80033
