96-Cm-245(n,total fission) ENDF/B-VII.1
30.5754,24.1889
30.7243,21.9216
30.8732,21.2534
31.0104,21.9698
31.1476,24.0479
31.2987,28.1654
31.4778,35.6113
31.6523,43.4574
31.7817,46.3687
31.7992,46.4347
31.9002,45.2728
32.2308,34.3158
32.3407,32.2175
32.4506,31.5588
32.5772,32.5283
32.7589,36.6086
33.0011,43.0099
33.1625,44.364
33.3631,44.0709
33.5387,45.9267
33.91,54.9083
34.2613,57.9625
34.5972,65.7289
34.8792,68.4054
35.1641,76.5167
35.2199,77.0557
35.3273,75.3929
35.5443,67.7619
35.5636,67.6129
35.6227,68.7765
35.6839,73.7956
35.7451,84.2665
35.833,107.968
35.9828,152.553
36.0427,178.574
36.1618,246.232
36.2083,260.248
36.2238,261.258
36.2641,254.359
36.3184,226.055
36.4463,132.175
36.4965,103.694
36.542,84.318
36.5951,68.023
36.6542,55.6273
36.7149,47.1046
36.7876,40.4469
36.8737,35.674
36.9768,32.4882
37.5105,24.3462
37.677,22.8899
38.0054,21.8952
38.2512,19.1745
38.4307,17.2141
38.5956,16.3761
38.6506,16.3353
38.7936,16.853
38.8889,17.8293
38.9842,19.6393
39.0551,22.0113
39.1132,25.2823
39.1596,29.4661
39.206,35.8028
39.2545,45.2474
39.3525,68.7268
39.3981,75.808
39.4267,77.2305
39.4605,75.653
39.5068,68.9875
39.5971,52.5788
39.6392,47.5065
39.6856,44.6482
39.7199,44.0975
39.7886,45.9141
39.8744,52.1339
39.9602,62.2432
40.0403,75.7864
40.1204,94.3902
40.2047,120.601
40.3386,174.565
40.4393,212.864
40.5156,227.866
40.5388,228.796
40.601,222.381
40.6834,197.396
40.8665,122.753
40.9538,94.9962
41.0397,74.8356
41.1215,60.953
41.2094,50.4236
41.2865,44.0434
41.3669,39.6461
41.4778,36.4236
41.632,32.8326
41.778,28.4313
41.8403,27.7924
41.9224,28.7523
41.9821,31.0175
42.0423,35.2587
42.095,41.4776
42.1432,50.3266
42.1839,61.0728
42.2291,77.3112
42.2909,106.3
42.3641,141.92
42.4087,155.757
42.44,158.9
42.4762,154.988
42.5219,140.068
42.6388,85.8152
42.6795,71.7335
42.7172,62.8425
42.7473,58.6432
42.7811,56.9362
42.8145,58.2697
42.8589,64.3757
42.9243,79.8038
42.9876,94.1953
43.0329,98.0436
43.0699,95.2565
43.1167,84.8108
43.227,50.0149
43.2725,39.0179
43.3134,31.926
43.3485,27.6037
43.3952,23.6835
43.442,21.1765
43.4993,19.2855
43.5566,18.2
43.6644,17.4799
43.7507,17.7903
43.8639,19.3062
43.9447,21.3287
44.0256,24.4668
44.1064,29.2664
44.1711,34.877
44.2412,43.4526
44.314,55.7277
44.4794,90.1437
44.5355,97.399
44.573,99.1533
44.6217,97.4665
44.7123,85.9001
44.7996,73.6043
44.8676,68.037
45.0009,61.3299
45.0794,52.8421
45.1957,37.8737
45.2496,32.9536
45.3035,29.7629
45.3752,27.6733
45.4244,27.2962
45.5182,28.3666
45.5986,30.9013
45.7241,37.3401
45.8599,44.9364
45.9572,47.5404
45.9772,47.6254
46.0773,46.1604
46.2427,42.0905
46.3281,41.4282
46.5355,43.4818
46.6922,46.4754
46.8139,51.5056
46.9839,60.9615
47.1333,65.1469
47.1925,71.0147
47.2444,81.5015
47.3006,99.7155
47.4128,145.932
47.4562,157.453
47.489,160.314
47.531,155.735
47.5816,139.813
47.698,90.4625
47.7507,73.9436
47.8035,63.1693
47.8567,57.1628
47.9173,54.7715
47.9245,54.7388
47.997,56.7827
48.2058,72.4112
48.3478,76.3372
48.513,81.3663
48.7913,95.6244
48.9305,107.566
49.1972,140.611
49.2957,145.139
49.387,141.12
49.6639,108.213
49.7805,102.133
49.8282,101.76
49.9475,102.656
50.1002,98.8341
50.2666,93.2927
50.4304,97.0527
50.5515,99.8654
50.6797,96.0943
50.9308,79.2978
51.0642,76.0359
51.1838,78.0137
51.5373,94.0389
51.6105,94.986
51.7673,91.9197
51.9764,84.8771
52.0495,84.3781
52.181,88.3819
52.3435,101.263
52.649,129.085
52.8786,163.341
53.1303,195.689
53.322,209.069
53.3829,219.957
53.4656,248.16
53.5751,294.045
53.6426,305.326
53.6986,295.333
53.7642,262.399
53.9216,152.998
53.9879,117.176
54.047,93.3366
54.1061,75.7536
54.1663,62.5886
54.2423,50.7193
54.3207,42.0962
54.4171,34.6521
54.5365,28.4019
54.6775,23.5165
54.8366,19.9212
55.0293,17.2045
55.1996,15.8081
55.4216,15.1544
55.5522,15.4953
55.6828,16.7257
55.7699,18.4274
55.8352,20.5028
55.9114,24.2647
55.9762,28.9715
56.1616,46.6397
56.2268,49.6087
56.2419,49.7256
56.2922,48.4926
56.3697,42.7367
56.5034,30.3338
56.5795,25.428
56.6448,22.7579
56.7101,21.1673
56.8146,20.1162
56.832,20.07
56.9626,20.5724
57.067,21.8923
57.2193,25.3004
57.3528,30.1858
57.4687,36.6488
57.5589,43.9228
57.649,54.3071
57.7237,66.5655
57.7958,83.2532
57.8576,103.143
57.9194,130.236
57.9825,167.387
58.0534,221.617
58.2223,373.702
58.3088,429.091
58.3954,456.527
58.4449,459.487
58.5253,439.136
58.5933,392.673
58.7123,268.537
58.7897,191.763
58.8476,147.166
58.8979,117.984
58.952,94.7043
