95-Am-241(n,total fission) ENDF/B-VII.1
12.2612,0.0169544
12.2783,0.0153036
12.3048,0.0139132
12.3446,0.0131962
12.3711,0.0131231
12.4373,0.0135885
12.5004,0.0147472
12.5477,0.0162615
12.5917,0.0185459
12.6269,0.0215176
12.655,0.0253178
12.6762,0.0297346
12.6938,0.0352221
12.7079,0.0414934
12.7219,0.0502418
12.7364,0.0628121
12.7499,0.079038
12.7635,0.100598
12.7793,0.133542
12.7973,0.180901
12.8417,0.315051
12.8621,0.356858
12.8789,0.368429
12.8951,0.357347
12.9128,0.322907
12.9463,0.223924
12.9706,0.153569
12.9882,0.113197
13.0022,0.0884065
13.0163,0.0697053
13.0295,0.0567655
13.0431,0.0470739
13.0586,0.0392584
13.078,0.0327729
13.0959,0.028813
13.1241,0.0248736
13.1523,0.022484
13.1945,0.0204124
13.248,0.019163
13.3016,0.0187494
13.3918,0.0191349
13.5121,0.021122
13.5931,0.023454
13.665,0.0267761
13.707,0.0303536
13.738,0.0352831
13.7628,0.0419293
13.7899,0.052706
13.843,0.0784749
13.8682,0.085494
13.8802,0.086336
13.901,0.083975
13.9647,0.0638638
13.9934,0.0584945
14.0158,0.0573082
14.0487,0.0591149
14.096,0.0661931
14.1539,0.0799966
14.1987,0.0956468
14.2386,0.116189
14.2723,0.141413
14.3118,0.181728
14.367,0.253939
14.3986,0.308106
14.4249,0.373147
14.4442,0.443236
14.4624,0.539228
14.4778,0.656247
14.4907,0.791756
14.5028,0.964782
14.5144,1.18756
14.526,1.48459
14.5384,1.90715
14.551,2.47926
14.5649,3.30241
14.5799,4.45715
14.5979,6.19101
14.6424,11.0821
14.6589,12.4319
14.6762,13.1356
14.6817,13.1801
14.6974,12.8202
14.7144,11.6888
14.7397,9.09999
14.7718,5.56594
14.7886,4.05534
14.8035,3.00178
14.816,2.31672
14.8286,1.78467
14.8412,1.38625
14.8526,1.11652
14.8646,0.903516
14.879,0.718002
14.8929,0.590428
14.9079,0.489263
14.9259,0.401667
14.9475,0.327135
14.971,0.269548
15.0004,0.218011
15.0304,0.180371
15.0665,0.147749
15.1044,0.122974
15.1531,0.100415
15.2019,0.0846927
15.2599,0.0719288
15.3178,0.063866
15.3642,0.0603515
15.3932,0.0596175
15.4338,0.0612644
15.457,0.0645071
15.4802,0.0708863
15.4976,0.0792113
15.5147,0.0922669
15.5298,0.109775
15.5449,0.135184
15.56,0.170879
15.5759,0.222102
15.5945,0.300359
15.6264,0.469815
15.653,0.606725
15.6737,0.674485
15.6889,0.690147
15.7048,0.672031
15.7226,0.613756
15.7516,0.466168
15.7812,0.308227
15.8001,0.226854
15.8166,0.172353
15.8305,0.138078
15.8444,0.112824
15.8583,0.0947478
15.8757,0.0795781
15.8914,0.0708177
15.9071,0.0651311
15.9279,0.0606397
15.9627,0.0578154
16.0047,0.0591356
16.0468,0.0647312
16.0844,0.0742588
16.1158,0.0873617
16.1409,0.103733
16.1622,0.124937
16.1772,0.146587
16.1923,0.176838
16.2073,0.21974
16.2199,0.269088
16.2324,0.334966
16.245,0.421767
16.2588,0.546594
16.2738,0.722969
16.2917,0.98899
16.3228,1.55855
16.3504,2.04939
16.3679,2.26512
16.3878,2.35722
16.4081,2.26376
16.4288,1.99977
16.4843,1.00317
16.5028,0.736296
16.5182,0.564948
16.5313,0.452942
16.5453,0.364854
16.5594,0.302059
16.5712,0.265788
16.5853,0.237336
16.5994,0.221947
16.6136,0.21743
16.6279,0.223291
16.6423,0.240448
16.6567,0.271364
16.671,0.320277
16.6854,0.393201
16.6989,0.490611
16.7125,0.622816
16.7274,0.815727
16.7437,1.09092
16.7663,1.56858
16.8057,2.48798
16.8278,2.85631
16.8477,2.98076
16.8488,2.98098
16.8644,2.90788
16.8815,2.67867
16.9067,2.14412
16.944,1.27079
16.9621,0.925824
16.9765,0.706007
16.9909,0.535075
17.003,0.425698
17.015,0.341424
17.0276,0.274648
17.0421,0.219071
17.0547,0.183757
17.0691,0.154141
17.0876,0.127514
17.1055,0.10956
17.1311,0.0919667
17.1618,0.0782463
17.1961,0.0684945
17.2305,0.0625137
17.282,0.0584305
17.2992,0.0581611
17.3479,0.0603471
17.3845,0.0653658
17.4222,0.0749622
17.4478,0.0854398
17.4734,0.101257
17.4957,0.122343
17.5133,0.14661
17.5313,0.182315
17.5475,0.228224
17.5612,0.281539
17.5756,0.355239
17.59,0.451486
17.6074,0.602558
17.6263,0.812787
17.6651,1.34236
17.6931,1.69401
17.7137,1.85314
17.7286,1.88965
17.7482,1.82834
17.7689,1.64372
17.8073,1.12969
17.8344,0.771778
17.8542,0.562075
17.8704,0.428575
17.8848,0.336844
17.8992,0.266834
17.9141,0.21258
17.9303,0.170353
17.9447,0.143398
17.9634,0.119058
17.9805,0.104429
18.0019,0.093989
18.0212,0.0909231
18.038,0.0928275
18.0573,0.100111
18.0857,0.119124
18.127,0.152174
18.1531,0.164028
18.1618,0.164888
18.1856,0.15819
18.2109,0.138339
18.2683,0.0770336
18.2909,0.0579972
18.3112,0.0453135
18.3286,0.0374583
18.3496,0.0308785
18.3679,0.0269564
18.3925,0.0234405
18.4231,0.0206285
18.465,0.0181896
18.5244,0.0160234
18.6111,0.0141616
18.6966,0.0132
18.7821,0.0128934
18.8742,0.0133236
18.9357,0.0141921
18.9971,0.0157799
19.0438,0.0177547
19.0838,0.0203144
19.1238,0.0242367
19.1558,0.0291083
19.1801,0.0346704
19.1996,0.0410942
19.219,0.0503882
19.2336,0.0602375
19.2493,0.0748122
19.2634,0.0928394
19.2774,0.117059
19.292,0.150476
19.3066,0.194086
19.324,0.26105
19.3449,0.363113
19.4005,0.683134
19.4202,0.764996
19.442,0.804038
19.4447,0.804544
19.4661,0.773949
19.4909,0.673167
19.5496,0.336771
19.5686,0.248127
19.5858,0.184664
19.6018,0.139678
19.6164,0.108773
19.6317,0.0847999
19.6473,0.0670902
19.663,0.0543976
