93-Np-237(n,total fission) ENDF/B-VII.1
11.1907,0.00814201
11.2047,0.00611145
11.2166,0.00480034
11.2285,0.00381364
11.2404,0.003086
11.2537,0.00250231
11.2683,0.00205816
11.2828,0.00174888
11.301,0.00148067
11.3223,0.00126631
11.3489,0.0010832
11.3861,9.12908E-4
11.4309,7.7938E-4
11.4869,6.70589E-4
11.5653,5.75232E-4
11.6529,5.10458E-4
11.778,4.59514E-4
11.8906,4.45408E-4
11.9607,4.62138E-4
12.0007,4.98283E-4
12.0258,5.50084E-4
12.0441,6.1964E-4
12.0603,7.21249E-4
12.0733,8.42474E-4
12.088,0.00103562
12.1034,0.0013168
12.1219,0.00176621
12.1655,0.00303191
12.1836,0.00339963
12.2007,0.0035236
12.2162,0.00341966
12.234,0.00307623
12.2841,0.0016384
12.3015,0.00123813
12.3158,9.8987E-4
12.33,8.0838E-4
12.3441,6.83283E-4
12.3601,5.87955E-4
12.3739,5.34589E-4
12.3923,4.89453E-4
12.4106,4.62838E-4
12.4453,4.42551E-4
12.4492,4.42276E-4
12.4815,4.58241E-4
12.5092,5.07273E-4
12.5369,5.98122E-4
12.5831,7.92468E-4
12.6082,8.50344E-4
12.6157,8.53597E-4
12.6357,8.27974E-4
12.6632,7.29308E-4
12.7043,5.53265E-4
12.7284,4.81285E-4
12.7515,4.4058E-4
12.7803,4.18218E-4
12.7988,4.14319E-4
12.8542,4.30352E-4
12.8945,4.67523E-4
12.9248,5.23199E-4
12.9439,5.84633E-4
12.9619,6.78566E-4
12.9776,8.08871E-4
12.9911,9.75252E-4
13.0047,0.00121212
13.0169,0.00150507
13.0309,0.00194771
13.0464,0.00258105
13.0715,0.00386106
13.102,0.00542974
13.119,0.00600041
13.1347,0.00618461
13.151,0.00598632
13.171,0.00527126
13.2216,0.00265173
13.2376,0.00198601
13.2525,0.00150936
13.2653,0.00120092
13.2789,9.64679E-4
13.2924,7.98048E-4
13.3081,6.6679E-4
13.3261,5.71362E-4
13.3502,4.95915E-4
13.3752,4.49795E-4
13.4152,4.07179E-4
13.4903,3.68021E-4
13.6154,3.41673E-4
13.8769,3.26571E-4
13.9669,3.25741E-4
14.179,3.33756E-4
14.236,3.52716E-4
14.264,3.77918E-4
14.296,4.29984E-4
14.3598,5.71145E-4
14.387,5.93806E-4
14.409,5.78937E-4
14.449,4.98032E-4
14.491,4.0951E-4
14.527,3.66567E-4
14.579,3.44844E-4
14.6351,3.40291E-4
14.8871,3.48486E-4
15.1066,3.68076E-4
15.2761,3.9718E-4
15.4013,4.39365E-4
15.4744,4.856E-4
15.5305,5.5042E-4
15.5646,6.23028E-4
15.5896,7.16685E-4
15.6097,8.41563E-4
15.6272,0.00101327
15.6407,0.00120436
15.6558,0.00149643
15.6723,0.00193612
15.6911,0.00260166
15.7174,0.0037836
15.7529,0.00541578
15.775,0.00606895
15.7938,0.00625319
15.813,0.00608771
15.8729,0.00473989
15.896,0.00455559
15.9128,0.00465999
15.9336,0.00510707
15.95,0.00575405
15.968,0.0068356
15.9886,0.00861798
16.0158,0.0117998
16.0491,0.0158766
16.0688,0.0174456
16.0844,0.0178489
16.1043,0.0171297
16.125,0.0150836
16.1794,0.00746836
16.1968,0.0054789
16.2112,0.00418776
16.2251,0.00322981
16.2389,0.00251664
16.2528,0.00200086
16.2666,0.001635
16.282,0.00135443
16.2974,0.0011642
16.3179,9.98825E-4
16.3385,8.93668E-4
16.3726,7.89758E-4
16.4124,7.27141E-4
16.4601,6.98358E-4
16.476,6.97259E-4
16.5218,7.17033E-4
16.5675,7.80328E-4
16.598,8.6454E-4
16.6218,9.76494E-4
16.6409,0.00112085
16.6575,0.00131663
16.6718,0.00156641
16.6859,0.00192144
16.6992,0.00239812
16.7125,0.00305457
16.7259,0.00393503
16.7404,0.00519222
16.7575,0.00710292
16.783,0.0106633
16.817,0.0156053
16.8362,0.0175588
16.856,0.0183322
16.8568,0.0183333
16.8739,0.0177848
16.8932,0.0160121
16.9255,0.0114377
16.9536,0.00743683
16.9715,0.00539763
16.9868,0.00404078
16.9999,0.00315902
17.0117,0.00255326
17.0241,0.0020747
17.0384,0.00167899
17.0527,0.00140616
17.0693,0.00119374
17.0884,0.0010398
17.1131,9.21122E-4
17.1464,8.3717E-4
17.1864,7.95851E-4
