94-Pu-242(n,total fission) ENDF/B-VII.1
150.799,0.00209295
150.907,0.00170808
151.033,0.00138306
151.182,0.00110887
151.34,9.00114E-4
151.524,7.24162E-4
151.713,5.93556E-4
151.934,4.82284E-4
152.186,3.904E-4
152.475,3.15047E-4
152.777,2.58245E-4
153.132,2.10195E-4
153.554,1.69019E-4
154.02,1.36917E-4
154.508,1.12898E-4
155.063,9.32445E-5
155.729,7.68914E-5
156.417,6.44501E-5
157.305,5.31664E-5
158.281,4.46641E-5
159.413,3.79462E-5
160.745,3.2507E-5
162.464,2.80423E-5
164.761,2.45419E-5
167.403,2.24572E-5
171.218,2.14633E-5
171.456,2.14617E-5
175.334,2.22108E-5
179.413,2.46057E-5
183.492,2.93073E-5
186.347,3.48177E-5
188.386,4.07261E-5
190.018,4.727E-5
191.445,5.50194E-5
192.873,6.51562E-5
194.3,7.99626E-5
195.524,9.82298E-5
196.544,1.19757E-4
197.461,1.47093E-4
198.379,1.85635E-4
199.068,2.27243E-4
199.684,2.79041E-4
200.223,3.41651E-4
200.743,4.25938E-4
201.196,5.29166E-4
201.581,6.51557E-4
201.918,7.99164E-4
202.227,9.84541E-4
202.496,0.001207
202.737,0.00147906
202.968,0.00184078
203.165,0.00227024
203.334,0.00277238
203.498,0.00344491
203.633,0.00421007
203.753,0.00514459
203.862,0.00631696
203.96,0.00777455
204.042,0.00950058
204.109,0.0115173
204.163,0.0138096
204.215,0.0169038
204.261,0.0209473
204.302,0.0261111
204.336,0.032174
204.37,0.040164
204.404,0.0509162
204.437,0.065286
204.473,0.0855233
204.508,0.111622
204.546,0.149026
204.588,0.201614
204.634,0.276174
204.689,0.386886
204.8,0.659158
204.888,0.860745
204.954,0.951889
205.0,0.971794
205.056,0.942315
205.123,0.837407
205.223,0.599277
205.316,0.375655
205.372,0.265528
205.418,0.193318
205.459,0.143183
205.496,0.108478
205.533,0.08193
205.566,0.0639797
205.597,0.0507326
205.631,0.0400336
205.664,0.0320782
205.703,0.0254639
205.744,0.0204857
205.786,0.0168566
205.828,0.0142347
205.888,0.0115885
205.953,0.00960482
206.04,0.00775578
206.141,0.00625396
206.252,0.00508523
206.387,0.0040718
206.536,0.00327599
206.705,0.002635
206.878,0.0021581
207.08,0.00175279
207.311,0.00141901
207.581,0.00114158
207.889,9.17895E-4
208.216,7.49092E-4
208.602,6.0875E-4
209.052,4.95477E-4
209.529,4.14319E-4
210.081,3.52885E-4
210.695,3.1317E-4
211.233,2.98649E-4
211.39,2.97944E-4
211.837,3.06056E-4
212.284,3.3214E-4
212.683,3.79338E-4
212.984,4.39149E-4
213.235,5.14805E-4
213.473,6.22234E-4
213.676,7.59753E-4
213.85,9.33476E-4
214.001,0.00115253
214.114,0.00138581
214.213,0.00167116
214.29,0.00198009
214.351,0.00232626
214.409,0.00280558
214.451,0.00331801
214.487,0.00394712
214.523,0.0048538
214.553,0.00592746
214.583,0.00742033
214.61,0.00929366
214.636,0.0116431
214.662,0.0147425
214.687,0.0188025
214.713,0.0240729
214.739,0.0310983
214.767,0.0404133
214.797,0.0539309
214.828,0.0712836
214.862,0.0954749
214.901,0.130898
214.944,0.179878
214.999,0.258911
215.169,0.543772
215.236,0.621585
215.298,0.648242
215.3,0.648261
215.362,0.623422
215.426,0.551038
215.532,0.373402
215.615,0.236342
215.664,0.170072
215.705,0.124793
215.741,0.0930637
215.775,0.0691585
215.806,0.0522876
215.837,0.0391676
215.867,0.0294033
215.892,0.0229551
215.918,0.017943
215.944,0.0140866
215.972,0.0108929
215.997,0.0087254
216.023,0.00709075
216.054,0.00565258
216.085,0.00462588
216.12,0.00378385
